Link ID,Body size reference,Body size methodology,mass.units,length.units,Taxonomy consumer,Lifestage consumer,Common name(s) consumer,Metabolic category consumer,Type of feeding interaction,Minimum length (m) consumer,Mean length (m) consumer,Maximum length (m) consumer,Minimum mass (g) consumer,Mean mass (g) consumer,Maximum mass (g) consumer,Taxonomy resource,Lifestage - resource,Common name(s) resource,Metabolic category resource,Minimum length (m) resource,Mean length (m) resource,Maximum length (m) resource,Minimum mass (g) resource,Mean mass (g) resource,Maximum mass (g) resource,Consumer/resource body mass ratio,Notes
1,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Bacteria,heterotrophic bacteria,herbivorous,NA,NA,NA,NA,0.00000001,NA,NA,adults,Phytoplankton,photo-autotroph,NA,NA,NA,NA,0.0001,NA,0.0001,NA
2,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Benthic carnivores,invertebrate,predacious,NA,NA,NA,NA,10,NA,NA,adults,Benthic filter feeders,invertebrate,NA,NA,NA,NA,10,NA,1,NA
3,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Microzooplankton,invertebrate,herbivorous,NA,NA,NA,NA,0.0001,NA,NA,adults,Phytoplankton,photo-autotroph,NA,NA,NA,NA,0.0001,NA,1,NA
4,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Microzooplankton,invertebrate,bacterivorous,NA,NA,NA,NA,0.0001,NA,NA,adults,Bacteria,heterotrophic bacteria,NA,NA,NA,NA,0.00000001,NA,10000,NA
5,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Microzooplankton,invertebrate,predacious,NA,NA,NA,NA,0.0001,NA,NA,adults,Microzooplankton,invertebrate,NA,NA,NA,NA,0.0001,NA,1,NA
6,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Mesozooplankton,invertebrate,herbivorous,NA,NA,NA,NA,0.01,NA,NA,adults,Phytoplankton,photo-autotroph,NA,NA,NA,NA,0.0001,NA,100,NA
7,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Mesozooplankton,invertebrate,predacious,NA,NA,NA,NA,0.01,NA,NA,adults,Microzooplankton,invertebrate,NA,NA,NA,NA,0.0001,NA,100,NA
8,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Macrozooplankton,invertebrate,herbivorous,NA,NA,NA,NA,1,NA,NA,adults,Phytoplankton,photo-autotroph,NA,NA,NA,NA,0.0001,NA,10000,NA
9,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Macrozooplankton,invertebrate,predacious,NA,NA,NA,NA,1,NA,NA,adults,Mesozooplankton,invertebrate,NA,NA,NA,NA,0.01,NA,100,NA
10,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Macrozooplankton,invertebrate,predacious,NA,NA,NA,NA,1,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,1,NA
11,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Gelatinous zooplankton,invertebrate,herbivorous,NA,NA,NA,NA,100,NA,NA,adults,Phytoplankton,photo-autotroph,NA,NA,NA,NA,0.0001,NA,1000000,NA
12,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Gelatinous zooplankton,invertebrate,bacterivorous,NA,NA,NA,NA,100,NA,NA,adults,Bacteria,heterotrophic bacteria,NA,NA,NA,NA,0.00000001,NA,10000000000,NA
13,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Gelatinous zooplankton,invertebrate,predacious,NA,NA,NA,NA,100,NA,NA,adults,Microzooplankton,invertebrate,NA,NA,NA,NA,0.0001,NA,1000000,NA
14,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Gelatinous zooplankton,invertebrate,predacious,NA,NA,NA,NA,100,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,100,NA
15,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Anchovy,ectotherm vertebrate,herbivorous,NA,NA,NA,NA,11.5,NA,NA,adults,Phytoplankton,photo-autotroph,NA,NA,NA,NA,0.0001,NA,115000,NA
16,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Anchovy,ectotherm vertebrate,predacious,NA,NA,NA,NA,11.5,NA,NA,adults,Microzooplankton,invertebrate,NA,NA,NA,NA,0.0001,NA,115000,NA
17,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Anchovy,ectotherm vertebrate,predacious,NA,NA,NA,NA,11.5,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,11.5,NA
18,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Pilchard,ectotherm vertebrate,herbivorous,NA,NA,NA,NA,280,NA,NA,adults,Phytoplankton,photo-autotroph,NA,NA,NA,NA,0.0001,NA,2800000,NA
19,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Pilchard,ectotherm vertebrate,predacious,NA,NA,NA,NA,280,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,280,NA
20,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Round herring,ectotherm vertebrate,predacious,NA,NA,NA,NA,215.2,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,215.2,NA
21,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Lightfish,ectotherm vertebrate,predacious,NA,NA,NA,NA,4.8,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,4.8,NA
22,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Lanternfish,ectotherm vertebrate,predacious,NA,NA,NA,NA,6.9,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,6.9,NA
23,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Goby,ectotherm vertebrate,herbivorous,NA,NA,NA,NA,18.6,NA,NA,adults,Phytoplankton,photo-autotroph,NA,NA,NA,NA,0.0001,NA,186000,NA
24,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Goby,ectotherm vertebrate,predacious,NA,NA,NA,NA,18.6,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,18.6,NA
25,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Other pelagics,ectotherm vertebrate,predacious,NA,NA,NA,NA,2554.85,NA,NA,adults,Benthic carnvores,invertebrate,NA,NA,NA,NA,10,NA,255.485,NA
26,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Other pelagics,ectotherm vertebrate,predacious,NA,NA,NA,NA,2554.85,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,2554.85,NA
